name;initial_state_accuracy_micro;initial_state_accuracy_macro;end_state_accuracy_micro;end_state_accuracy_macro
conv1_train-90665;0.82156325;0.0;0.8322565;0.0
conv1_train-0;0.4090545;0.0;0.7724175;0.0
conv1_train-70874;0.8223345;0.0;0.8336135;0.0
conv1_train-42348;0.70268925;0.0;0.79397375;0.0
conv1_train2-35640;0.82311;0.0;0.83229275;0.0
conv1_train2-13323;0.82404675;0.0;0.8339585;0.0
conv1_train2-62766;0.819154;0.0;0.830623;0.0
conv1_train2-49881;0.82470275;0.0;0.83455275;0.0
conv1_train2-0;0.8196335;0.0;0.832698;0.0
conv1_train_on_endstate-5467;0.8234195;0.0;0.832901;0.0
conv1_train_on_endstate-10068;0.205079;0.0;0.80888625;0.0
conv1_train_on_endstate-2244;0.822723;0.0;0.83201275;0.0
conv1_train_on_endstate-0;0.2608975;0.0;0.75658175;0.0
conv1_train_on_endstate_2-510;0.17669325;0.0;0.822927;0.0
conv1_train_on_endstate_2-1218;0.1767055;0.0;0.82341675;0.0
conv1_train_on_endstate_2-803;0.17625275;0.0;0.82330925;0.0
conv1_train_on_endstate_2-0;0.175515;0.0;0.8242155;0.0
conv1_train_on_endstate_3-9960;0.82311275;0.0;0.832368;0.0
conv1_train_on_endstate_3-11522;0.82208475;0.0;0.8316075;0.0
conv1_train_on_endstate_3-11366;0.8243565;0.0;0.8338795;0.0
conv1_train_on_endstate_3-0;0.8157555;0.0;0.830795;0.0
conv1_train_on_endstate_4-10358;0.82405125;0.0;0.83337725;0.0
conv1_train_on_endstate_4-2826;0.8237985;0.0;0.832993;0.0
conv1_train_on_endstate_4-3785;0.823136;0.0;0.83247075;0.0
conv1_train_on_endstate_4-13590;0.8235695;0.0;0.833061;0.0
conv1_train_on_endstate_4-11366;0.82359525;0.0;0.833032;0.0
conv1_train_on_endstate_4-0;0.8177205;0.0;0.83199025;0.0
conv1_train_on_endstate_5-19211;0.82394625;0.0;0.83359725;0.0
conv1_train_on_endstate_5-23229;0.266301;0.0;0.775015;0.0
conv1_train_on_endstate_5-18360;0.82404;0.0;0.8337355;0.0
conv1_train_on_endstate_5-5023;0.198942;0.0;0.81898925;0.0
conv1_train_on_endstate_5-11366;0.82331475;0.0;0.8326425;0.0
conv1_train_on_endstate_5-0;0.7718065;0.0;0.75387725;0.0
conv1_train_grok-0;0.81833675;0.0;0.832695;0.0
conv1_train_grok2-0;0.82355925;0.0;0.83312725;0.0
conv1_train_grok3_0-0;0.824484;0.0;0.8342845;0.0
conv1_train_grok3_1-0;0.82433825;0.0;0.8336335;0.0
conv1_train_grok3_1-9911;0.7572835;0.0;0.7771065;0.0
conv1_train_grok3_1-26668;0.811392;0.0;0.82836875;0.0
conv1_train_grok3_1-31198;0.47730075;0.0;0.74938;0.0
nca1_train-5073359;0.931082;0.0029;0.977603;0.0495
nca1_train-2782119;0.92929275;0.0018;0.97685725;0.031
nca1_train-5782119;0.925555;0.0012;0.9719665;0.0251
nca1_train-3605196;0.9282765;0.0019;0.9748265;0.0323
nca1_train-0;0.18806875;0.0;0.82263325;0.0
nca1_train-4540156;0.88600425;0.0012;0.97541525;0.0342
nca1_train-16157077;0.74095975;0.0021;0.95753725;0.0473
nca1_train-22215718;0.63638925;0.0007;0.94862875;0.018
nca1_train-6384033;0.932022;0.0021;0.976182;0.0459
nca1_train-18836238;0.854006;0.002;0.966884;0.0316
nca1_train-9315914;0.930649;0.003;0.9792745;0.0535
nca1_train-37494118;0.7693795;0.0011;0.9654045;0.03
nca1_train-40247519;0.92861725;0.0017;0.97411775;0.0324
nca1_train-40314077;0.930786;0.0024;0.977712;0.056
nca1_train-40257477;0.73570225;0.0016;0.959291;0.0356
nca1_train-40247945;0.87837675;0.0016;0.975026;0.0431
nca1_train-40257478;0.7321715;0.0019;0.9593255;0.0378
nca1_train-40274678;0.88401475;0.0025;0.976594;0.053
nca1_train-40969034;0.9100205;0.0029;0.977954;0.0566
nca1_train-41054671;0.90686225;0.0015;0.97637525;0.0461
nca1_train-41214078;0.733994;0.0007;0.96364675;0.0308
nca1_train-41731798;0.92636;0.0012;0.97870975;0.0531
nca1_train-43074918;0.93131525;0.0023;0.976042;0.0459
nca1_train-43513877;0.79543425;0.0013;0.960781;0.0364
nca1_train-43513878;0.803587;0.0023;0.9620065;0.0372
nca1_train-46601955;0.9286955;0.0019;0.97612425;0.0418
nca1_train-50928276;0.93140625;0.0024;0.97813675;0.0566
nca1_train-54322118;0.929768;0.0018;0.97820025;0.045
nca1_train-56161238;0.928204;0.0016;0.981135;0.0569
nca1_train-73778677;0.70223775;0.001;0.948832;0.0335
nca1_train2-3982903;0.840331;0.001;0.96006025;0.0276
nca1_train2-4654079;0.69092075;0.0002;0.949038;0.0071
nca1_train2-7449998;0.4179725;0.0;0.91977425;0.0021
nca1_train2-2949998;0.92711375;0.001;0.97267375;0.029
nca1_train2-6069419;0.828164;0.0007;0.960165;0.0195
nca1_train2-0;0.546666;0.0;0.77760425;0.0
nca1_train2-5298779;0.92959725;0.001;0.9780165;0.0348
nca1_train3-7412272;0.9280905;0.0004;0.97346225;0.0196
nca1_train3-4788118;0.74295825;0.0;0.94675975;0.0055
nca1_train3-8040757;0.923796;0.0008;0.9730545;0.0235
nca1_train3-3540757;0.924852;0.0006;0.970934;0.0167
nca1_train3-5488439;0.78014275;0.0005;0.95903975;0.0096
nca1_train3-0;0.29636175;0.0;0.7484665;0.0
nca1_train3-5498097;0.926624;0.0009;0.975975;0.0198
nca1_train4-6725688;0.92896025;0.0013;0.97352575;0.0211
nca1_train4-6491757;0.84951375;0.0006;0.9652965;0.0111
nca1_train4-7278139;0.89385025;0.0009;0.97620025;0.0328
nca1_train4-2778139;0.92659975;0.0006;0.97638325;0.0197
nca1_train4-5559599;0.50751075;0.0;0.9305095;0.002
nca1_train4-0;0.21779325;0.0;0.78878375;0.0
nca1_train4-5442655;0.92671375;0.0004;0.97421625;0.0146
nca1_train_on_endstate-1093260;0.81922875;0.0;0.83472875;0.0
nca1_train_on_endstate-1341780;0.80544625;0.0;0.84876175;0.0
nca1_train_on_endstate-4500000;0.82451575;0.0;0.8343515;0.0
nca1_train_on_endstate-255239;0.759336;0.0;0.83714875;0.0
nca1_train_on_endstate-0;0.33251675;0.0;0.72463725;0.0
nca1_train_on_endstate-55200;0.507547;0.0;0.868979;0.0
nca1_train_on_endstate2-911050;0.75799175;0.0;0.8370765;0.0
nca1_train_on_endstate2-3517300;0.7756805;0.0;0.8326085;0.0
nca1_train_on_endstate2-3750000;0.780196;0.0;0.835055;0.0
nca1_train_on_endstate2-3516199;0.8116785;0.0;0.83332275;0.0
nca1_train_on_endstate2-0;0.27620825;0.0;0.77303275;0.0
nca1_train_on_endstate2-918000;0.716759;0.0;0.839114;0.0
nca1_train_on_endstate3-4158882;0.85426875;0.0;0.9584765;0.0054
nca1_train_on_endstate3-4199399;0.36383;0.0;0.87795275;0.0
nca1_train_on_endstate3-4744361;0.349648;0.0;0.865296;0.0
nca1_train_on_endstate3-994361;0.7469415;0.0;0.9112325;0.0
nca1_train_on_endstate3-0;0.1792805;0.0;0.82250675;0.0
nca1_train_on_endstate3-3944949;0.5872;0.0;0.9189775;0.0008
nca_feedback_train-4473412;0.929564;0.0015;0.974768;0.0265
nca_feedback_train-4173176;0.7112375;0.001;0.95196025;0.0128
nca_feedback_train-5520971;0.927066;0.0009;0.9732635;0.028
nca_feedback_train-1020971;0.784262;0.0002;0.95843925;0.0018
nca_feedback_train-4173179;0.71418025;0.0004;0.9522285;0.013
nca_feedback_train-0;0.82463925;0.0;0.834135;0.0
nca_feedback_train-4076399;0.92406575;0.0009;0.9763375;0.0134
