name;initial_state_accuracy_micro;initial_state_accuracy_macro;end_state_accuracy_micro;end_state_accuracy_macro
conv1_train-90665;0.73567075;0.0;0.791883;0.0
conv1_train-0;0.74864575;0.0;0.80496925;0.0
conv1_train-70874;0.743084;0.0;0.806085;0.0
conv1_train-42348;0.7496595;0.0;0.8051125;0.0
conv1_train2-35640;0.739254;0.0;0.79590175;0.0
conv1_train2-13323;0.746256;0.0;0.80272825;0.0
conv1_train2-62766;0.75179175;0.0;0.8052125;0.0
conv1_train2-49881;0.74611975;0.0;0.80440475;0.0
conv1_train2-0;0.74933975;0.0;0.80540325;0.0
conv1_train_on_endstate-5467;0.74839775;0.0;0.804125;0.0
conv1_train_on_endstate-10068;0.2574895;0.0;0.79462075;0.0
conv1_train_on_endstate-2244;0.74806825;0.0;0.80256175;0.0
conv1_train_on_endstate-0;0.7336235;0.0;0.79648025;0.0
conv1_train_on_endstate_2-510;0.2559385;0.0005;0.79661275;0.0054
conv1_train_on_endstate_2-1218;0.252019;0.0005;0.79698175;0.0061
conv1_train_on_endstate_2-803;0.25262975;0.0005;0.7963815;0.0061
conv1_train_on_endstate_2-0;0.25001075;0.0004;0.79436625;0.0048
conv1_train_on_endstate_3-9960;0.75045675;0.0;0.8049885;0.0
conv1_train_on_endstate_3-11522;0.74575575;0.0;0.805239;0.0
conv1_train_on_endstate_3-11366;0.74401325;0.0;0.80471275;0.0
conv1_train_on_endstate_3-0;0.25453275;0.0;0.79575125;0.0
conv1_train_on_endstate_4-10358;0.7457755;0.0;0.80647025;0.0
conv1_train_on_endstate_4-2826;0.74449725;0.0;0.80570375;0.0
conv1_train_on_endstate_4-3785;0.750886;0.0;0.80372025;0.0
conv1_train_on_endstate_4-13590;0.74565625;0.0;0.803739;0.0
conv1_train_on_endstate_4-11366;0.74900225;0.0;0.8045075;0.0
conv1_train_on_endstate_4-0;0.73002475;0.0;0.78232525;0.0
conv1_train_on_endstate_5-19211;0.7487075;0.0;0.80475275;0.0
conv1_train_on_endstate_5-23229;0.289617;0.0;0.768462;0.0
conv1_train_on_endstate_5-18360;0.74629925;0.0;0.806068;0.0
conv1_train_on_endstate_5-5023;0.29524675;0.0;0.77052475;0.0
conv1_train_on_endstate_5-11366;0.747139;0.0;0.8032745;0.0
conv1_train_on_endstate_5-0;0.2871105;0.0;0.7669905;0.0
conv1_train_grok-0;0.74746675;0.0;0.80193825;0.0
conv1_train_grok2-0;0.75005525;0.0;0.8051385;0.0
conv1_train_grok3_0-0;0.743554;0.0;0.806085;0.0
conv1_train_grok3_1-0;0.7496595;0.0;0.8051125;0.0
conv1_train_grok3_1-9911;0.5968155;0.0;0.72628375;0.0
conv1_train_grok3_1-26668;0.7441965;0.0;0.80244025;0.0
conv1_train_grok3_1-31198;0.6711035;0.0;0.74832425;0.0
nca1_train-5073359;0.9093675;0.0009;0.9676985;0.0374
nca1_train-2782119;0.90761475;0.0008;0.96840025;0.033
